entity_id,colour_temperature,colour_temperature_value,created_at,dimension,dimmable,dimmable_value,energylabel_type,farbtemperatur_filter,farbtemperatur_filter_value,gtin,label,lamp_holder,lamp_holder_value,lamp_max,lamp_max_value,luminous_flux,luminous_flux_value,luminous_intensity,manufacturer,manufacturer_value,manufacturer_sku,name,price,sku,small_image,thumbnail,updated_at,url_key,variation,variation_value,variation_text,visibility,voltage,voltage_value
152066,27859,Neutralweiß 4000 K,2019-06-24 16:12:27,Ø: 17.5mm,5439,Nicht dimmbar,67950,64480,Neutralweiß,4050300010755,,28276,2G11,39883,24 W,29452,1800 lm,,27546,Osram,10755,Kompakt-Leuchtstofflampe 2G11 TC-L 24W/840,7,700302,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-24w-840_20140731-63567_387422.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-24w-840_20140731-63567_387422.jpg,2023-02-13 02:55:22,osram-kompakt-leuchtstofflampe-2g11-tc-l-24w-840-700302,39885,24 W - Neutralweiß 840,24 W - Neutralweiß 840,1,,
152067,27719,Warmweiß Extra 2700 K,2019-06-24 16:12:27,Ø: 17.5mm,5439,Nicht dimmbar,67950,64479,Warmweiß Extra,4050300010809,,28276,2G11,39889,36 W,31250,2900 lm,,27546,Osram,10809,Kompakt-Leuchtstofflampe 2G11 TC-L 36W/827,7,700303,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-36w-827_20140731-63568_426219.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-36w-827_20140731-63568_426219.jpg,2023-02-13 02:55:22,osram-kompakt-leuchtstofflampe-2g11-tc-l-36w-827-700303,39886,36 W - Warmweiß Extra 827,36 W - Warmweiß Extra 827,1,,
152068,27715,Warmweiß 3000 K,2019-06-24 16:12:27,Ø: 17.5mm,5439,Nicht dimmbar,67950,64483,Warmweiß,4050300010793,,28276,2G11,39889,36 W,31250,2900 lm,,27546,Osram,10793,Kompakt-Leuchtstofflampe 2G11 TC-L 36W/830,7,700304,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-36w-830_20140731-63569_424415.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-36w-830_20140731-63569_424415.jpg,2023-02-13 02:55:22,osram-kompakt-leuchtstofflampe-2g11-tc-l-36w-830-700304,39890,36 W - Warmweiß 830,36 W - Warmweiß 830,1,,
152069,27859,Neutralweiß 4000 K,2019-06-24 16:12:27,Ø: 17.5mm,5439,Nicht dimmbar,67950,64480,Neutralweiß,4050300010786,,28276,2G11,39889,36 W,31250,2900 lm,,27546,Osram,10786,Kompakt-Leuchtstofflampe 2G11 TC-L 36W/840,7,700306,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-36w-840_20140731-63571_426813.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-36w-840_20140731-63571_426813.jpg,2023-02-13 02:55:22,osram-kompakt-leuchtstofflampe-2g11-tc-l-36w-840-700306,39891,36 W - Neutralweiß 840,36 W - Neutralweiß 840,1,,
152070,27715,Warmweiß 3000 K,2019-06-24 16:12:27,Ø: 17.5mm,5439,Nicht dimmbar,67950,64483,Warmweiß,4050300298894,,28276,2G11,39903,40 W,29665,3500 lm,,27546,Osram,298894,Kompakt-Leuchtstofflampe 2G11 TC-L 40W/830,7,700310,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-40w-830_20140731-63575_426706.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-40w-830_20140731-63575_426706.jpg,2023-02-13 02:55:22,osram-kompakt-leuchtstofflampe-2g11-tc-l-40w-830-700310,39901,40 W - Warmweiß 830,40 W - Warmweiß 830,1,,
152071,27859,Neutralweiß 4000 K,2019-06-24 16:12:27,Ø: 17.5mm,5439,Nicht dimmbar,67950,64480,Neutralweiß,4050300279909,,28276,2G11,39903,40 W,29665,3500 lm,,27546,Osram,279909,Kompakt-Leuchtstofflampe 2G11 TC-L 40W/840,7,700312,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-40w-840_20140731-63577_426660.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-40w-840_20140731-63577_426660.jpg,2023-02-13 02:55:22,osram-kompakt-leuchtstofflampe-2g11-tc-l-40w-840-700312,39904,40 W - Neutralweiß 840,40 W - Neutralweiß 840,1,,
152072,43079,Tageslicht-Weiß 6500 K,2019-06-24 16:12:27,Ø: 17.5mm,5439,Nicht dimmbar,67950,64619,Tageslichtweiß,4050300592008,,28276,2G11,39903,40 W,39906,3325 lm,,27546,Osram,592008,Kompakt-Leuchtstofflampe 2G11 TC-L 40W/860,7,700313,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-40w-860_20140731-63578_426383.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-40w-860_20140731-63578_426383.jpg,2023-02-13 02:55:22,osram-kompakt-leuchtstofflampe-2g11-tc-l-40w-860-700313,39905,40 W - Tageslichtweiß 860,40 W - Tageslichtweiß 860,1,,
152073,27719,Warmweiß Extra 2700 K,2019-06-24 16:12:27,Ø: 17.5mm,5439,Nicht dimmbar,67950,64479,Warmweiß Extra,4050300315881,,28276,2G11,39776,55 W,39777,4800 lm,,27546,Osram,315881,Kompakt-Leuchtstofflampe 2G11 TC-L 55W/827,7,700315,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-55w-827_20140731-63580_426605.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-55w-827_20140731-63580_426605.jpg,2023-02-13 02:55:22,osram-kompakt-leuchtstofflampe-2g11-tc-l-55w-827-700315,39773,55 W - Warmweiß Extra 827,55 W - Warmweiß Extra 827,1,,
152074,27715,Warmweiß 3000 K,2019-06-24 16:12:27,Ø: 17.5mm,5439,Nicht dimmbar,67950,64483,Warmweiß,4050300298917,,28276,2G11,39776,55 W,39777,4800 lm,,27546,Osram,298917,Kompakt-Leuchtstofflampe 2G11 TC-L 55W/830,7,700316,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-55w-830_20140731-63581_426822.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-55w-830_20140731-63581_426822.jpg,2023-02-13 02:55:22,osram-kompakt-leuchtstofflampe-2g11-tc-l-55w-830-700316,39778,55 W - Warmweiß 830,55 W - Warmweiß 830,1,,
152075,27859,Neutralweiß 4000 K,2019-06-24 16:12:27,Ø: 17.5mm,5439,Nicht dimmbar,67950,64480,Neutralweiß,4050300295879,,28276,2G11,39776,55 W,39777,4800 lm,,27546,Osram,295879,Kompakt-Leuchtstofflampe 2G11 TC-L 55W/840,7,700318,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-55w-840_20140731-63583_426568.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-55w-840_20140731-63583_426568.jpg,2023-02-13 02:55:22,osram-kompakt-leuchtstofflampe-2g11-tc-l-55w-840-700318,39779,55 W - Neutralweiß 840,55 W - Neutralweiß 840,1,,
152076,43079,Tageslicht-Weiß 6500 K,2019-06-24 16:12:27,Ø: 17.5mm,5439,Nicht dimmbar,67950,64619,Tageslichtweiß,4050300553900,,28276,2G11,39776,55 W,39781,4550 lm,,27546,Osram,553900,Kompakt-Leuchtstofflampe 2G11 TC-L 55W/860,7,700319,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-55w-860_20140731-63584_426333.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-55w-860_20140731-63584_426333.jpg,2023-02-13 02:55:23,osram-kompakt-leuchtstofflampe-2g11-tc-l-55w-860-700319,39780,55 W - Tageslichtweiß 860,55 W - Tageslichtweiß 860,1,,
